season,phase,round_name,game_code,date,round_code,game_url,date_time,d,m,y,game_date,home_adv,prob_pred,winner,winner_pred,correct_pred,where,team,points,team_code,win_points,expected_prob,mov,elo_prev,elo_new,pt_diff,elo_diff
2001,RS,Round 1,6,2001 October 11 18:00 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=6&seasoncode=E2001,2001-10-11T16:00:00Z,11,10,2001,2001-10-11,100,ULK,ULK,ULK,TRUE,home,Ulker,107,ULK,1,0.6400649998028851,2.6407132615916167,1300,1323.7621282082875,43,100
2001,RS,Round 1,6,2001 October 11 18:00 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=6&seasoncode=E2001,2001-10-11T16:00:00Z,11,10,2001,2001-10-11,-100,ULK,ULK,ULK,TRUE,away,Kinder London Towers,64,LON,0,0.3599350001971149,3.0999677418684195,1300,1272.1053277554886,-43,-100
2001,RS,Round 1,8,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=8&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,100,FRA,BAR,FRA,FALSE,home,Opel Skyliners,74,FRA,0,0.6400649998028851,1.1908967723971438,1300,1280.943716440259,-14,100
2001,RS,Round 1,8,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=8&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,-100,FRA,BAR,FRA,FALSE,away,FC Barcelona,88,BAR,1,0.3599350001971149,1.3980092545531686,1300,1322.3704198310002,14,-100
2001,RS,Round 1,7,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=7&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,100,LJU,LJU,LJU,TRUE,home,Union Olimpija,81,LJU,1,0.6400649998028851,0.7789596845434485,1300,1307.0093713552424,7,100
2001,RS,Round 1,7,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=7&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,-100,LJU,LJU,LJU,TRUE,away,Peristeri,74,PER,0,0.3599350001971149,0.9144309340292657,1300,1291.7716075394983,-7,-100
2001,RS,Round 1,5,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=5&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,100,ZAL,VIR,VIR,TRUE,home,Kinder Bologna,90,VIR,1,0.6400649998028851,2.314017647681479,1300,1320.822398561859,36,100
2001,RS,Round 1,5,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=5&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,-100,ZAL,VIR,VIR,TRUE,away,Zalgiris,54,ZAL,0,0.3599350001971149,2.7164554994521706,1300,1275.5563147317307,-36,-100
2001,RS,Round 1,11,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=11&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,100,BUD,MAD,BUD,FALSE,home,Buducnost,72,BUD,0,0.6400649998028851,0.9608811261777126,1300,1284.6243405540617,-10,100
2001,RS,Round 1,11,2001 October 11 20:30 CET,1,https://www.euroleague.net/main/results/showgame?gamecode=11&seasoncode=E2001,2001-10-11T18:30:00Z,11,10,2001,2001-10-11,-100,BUD,MAD,BUD,FALSE,away,Real Madrid,82,MAD,1,0.3599350001971149,1.1279908872520974,1300,1318.0496871756668,10,-100
